project_id,name,description,category,cost,latitude,longitude,votes,selected,target_demographic,moral_value,secondary_moral_value,source_files,moral_score_Care,moral_score_Fairness,moral_score_Loyalty,moral_score_Authority,moral_score_Sanctity,moral_confidence_Care,moral_confidence_Fairness,moral_confidence_Loyalty,moral_confidence_Authority,moral_confidence_Sanctity
28,Solar Power Initiative,"This project promotes solar energy adoption through community solar installations, educational programs, and incentives for residents to install solar panels. This environmental sustainability initiative protects the environment and reduces carbon emissions while preserving sacred community values and traditions.","Environment, Public heath and Safety",154466,40.76,-73.93,49,0,seniors,Sanctity,Authority,synthetic_balanced,0.1929430067539215,0.010144480504095554,0.10864337533712387,0.12218914180994034,0.04342249780893326,0.1929430067539215,0.010144480504095554,0.10864337533712387,0.12218914180994034,0.04342249780893326
29,Community Nursing Pods,"This initiative creates private, comfortable spaces for nursing mothers in public buildings and community centers to support breastfeeding and infant care. This health and wellness project protects and preserves sacred community values and traditions.","Environment, Public heath and Safety",68280,40.713,-73.958,22,1,youth,Sanctity,Authority,synthetic_balanced,0.4560600221157074,0.021623754873871803,0.08028372377157211,0.07339652627706528,0.1209549605846405,0.4560600221157074,0.021623754873871803,0.08028372377157211,0.07339652627706528,0.1209549605846405
30,Urban Tree Planting Program,"This environmental project plants trees throughout the community to improve air quality, provide shade, reduce urban heat island effects, and enhance green neighborhood aesthetics. This environmental sustainability initiative promotes fairness, equality, and justice for all residents.","Environment, Public heath and Safety",264247,40.727,-73.951,83,1,families,Fairness,Authority,synthetic_balanced,0.440653532743454,0.6524223685264587,0.015251221135258675,0.07612311840057373,0.030835812911391258,0.440653532743454,0.6524223685264587,0.015251221135258675,0.07612311840057373,0.030835812911391258
31,Water Bottle Refill Stations,"This initiative installs water bottle refill stations in public spaces to promote hydration, reduce plastic waste, and provide free access to clean drinking water. This project strengthens community bonds and loyalty to local values.","Environment, Public heath and Safety",346352,40.754,-73.97,86,0,adults,Loyalty,Care,synthetic_balanced,0.32868215441703796,0.012044066563248634,0.42282459139823914,0.20620068907737732,0.03832129016518593,0.32868215441703796,0.012044066563248634,0.42282459139823914,0.20620068907737732,0.03832129016518593
32,Enhanced Fire Hydrant Markers,This project installs visible markers and signs for fire hydrants to improve emergency response times and ensure firefighters can quickly locate water sources. This project demonstrates care and compassion for community members.,"Environment, Public heath and Safety",440529,40.76,-73.947,87,0,adults,Care,Fairness,synthetic_balanced,0.6769364476203918,0.005719425156712532,0.06040006875991821,0.23332422971725464,0.023376645520329475,0.6769364476203918,0.005719425156712532,0.06040006875991821,0.23332422971725464,0.023376645520329475
33,Smart Flashing Crosswalks,This initiative installs flashing crosswalk signals and enhanced pedestrian safety measures at busy intersections to protect pedestrians and improve walkability. This project demonstrates care and compassion for community members.,"Environment, Public heath and Safety",304118,40.74,-73.917,35,0,families,Care,Loyalty,synthetic_balanced,0.7900810241699219,0.01263006217777729,0.04109008237719536,0.23756414651870728,0.02735859341919422,0.7900810241699219,0.01263006217777729,0.04109008237719536,0.23756414651870728,0.02735859341919422
34,Children's Mental Health Support Center,"This project creates a specialized mental health support center for children and families, providing counseling, therapy services, crisis intervention, and family support programs to help children overcome trauma and mental health challenges. This health and wellness project demonstrates care and compassion for community members.","Environment, Public heath and Safety",324472,40.707,-73.917,22,1,children,Care,Fairness,synthetic_balanced,0.25647616386413574,0.019744131714105606,0.2999299466609955,0.0825674757361412,0.049522317945957184,0.25647616386413574,0.019744131714105606,0.2999299466609955,0.0825674757361412,0.049522317945957184
35,Waste Reduction Program,"This environmental initiative implements comprehensive waste reduction programs including recycling education, composting facilities, and waste reduction workshops. This environmental sustainability project strengthens community bonds and loyalty to local values.","Environment, Public heath and Safety",226380,40.772,-73.956,92,0,families,Loyalty,Care,synthetic_balanced,0.24216994643211365,0.01648009568452835,0.5985565781593323,0.180618017911911,0.030329791828989983,0.24216994643211365,0.01648009568452835,0.5985565781593323,0.180618017911911,0.030329791828989983
36,Green Roof Installation,"This environmental project installs green roofs on community buildings to improve energy efficiency, reduce stormwater runoff, and create urban green spaces. This environmental sustainability initiative demonstrates care and compassion for community members.","Environment, Public heath and Safety",249026,40.744,-73.997,53,0,families,Care,Loyalty,synthetic_balanced,0.6405740976333618,0.020862551406025887,0.05355478823184967,0.07232056558132172,0.04162321984767914,0.6405740976333618,0.020862551406025887,0.05355478823184967,0.07232056558132172,0.04162321984767914
37,Bike Sharing Station,"This environmental initiative establishes bike sharing stations throughout the community to promote sustainable transportation and provide affordable green mobility options. This environmental sustainability project demonstrates care and compassion for community members.","Environment, Public heath and Safety",423647,40.794,-73.983,64,1,seniors,Care,Loyalty,synthetic_balanced,0.7500388026237488,0.010941475629806519,0.05321730300784111,0.05552586540579796,0.021714448928833008,0.7500388026237488,0.010941475629806519,0.05321730300784111,0.05552586540579796,0.021714448928833008
38,Environmental Education Center,"This project creates an environmental education center offering programs on conservation, sustainability, and environmental protection for students and community members. This project demonstrates care and compassion for community members.","Environment, Public heath and Safety",216284,40.793,-73.973,65,0,children,Care,Loyalty,synthetic_balanced,0.7697986364364624,0.008077411912381649,0.0970325767993927,0.05994032323360443,0.02193790301680565,0.7697986364364624,0.008077411912381649,0.0970325767993927,0.05994032323360443,0.02193790301680565
39,Public Health Awareness Campaign,"This campaign raises awareness about public health issues, promotes healthy behaviors, and provides information about available health resources. This health and wellness project demonstrates care and compassion for community members.","Environment, Public heath and Safety",357787,40.733,-73.961,61,0,community,Care,Fairness,synthetic_balanced,0.8369653820991516,0.00885688979178667,0.05196669325232506,0.03795263171195984,0.023261884227395058,0.8369653820991516,0.00885688979178667,0.05196669325232506,0.03795263171195984,0.023261884227395058
40,Emergency Response Training,"This program trains community members in emergency response techniques, first aid, and disaster preparedness to build community resilience. This health and wellness project strengthens community bonds and loyalty to local values.","Environment, Public heath and Safety",99941,40.714,-73.944,86,0,children,Loyalty,Care,synthetic_balanced,0.5225650668144226,0.007233927492052317,0.6682946085929871,0.23484835028648376,0.019817646592855453,0.5225650668144226,0.007233927492052317,0.6682946085929871,0.23484835028648376,0.019817646592855453
41,Cultural Center Development,"This project develops a cultural center offering space for community events, cultural celebrations, and educational programs that celebrate local diversity. This project promotes fairness, equality, and justice for all residents.",Culture and Community,193259,40.723,-73.927,20,0,families,Fairness,Authority,synthetic_balanced,0.31904086470603943,0.8711483478546143,0.032673195004463196,0.03340204432606697,0.022358091548085213,0.31904086470603943,0.8711483478546143,0.032673195004463196,0.03340204432606697,0.022358091548085213
42,Art Gallery Renovation,"This initiative renovates the community art gallery with improved lighting, climate control, and exhibition spaces to showcase local and regional artists. This project promotes respect for authority, leadership, and social order.",Culture and Community,100696,40.796,-73.99,27,0,children,Authority,Fairness,synthetic_balanced,0.26039066910743713,0.018039520829916,0.06928975135087967,0.6628280282020569,0.022042660042643547,0.26039066910743713,0.018039520829916,0.06928975135087967,0.6628280282020569,0.022042660042643547
43,Music Program for Youth,"This program provides music education, instrument lessons, and performance opportunities for young people in the community. This project promotes fairness, equality, and justice for all residents.",Culture and Community,358433,40.799,-73.942,32,1,seniors,Fairness,Authority,synthetic_balanced,0.5594031810760498,0.8684231638908386,0.02473139949142933,0.07441826164722443,0.02161058411002159,0.5594031810760498,0.8684231638908386,0.02473139949142933,0.07441826164722443,0.02161058411002159
44,Cultural Festival Organization,"This project organizes annual cultural festivals celebrating local traditions, diversity, and community unity through music, food, and cultural performances. This project strengthens community bonds and loyalty to local values.",Culture and Community,399342,40.722,-73.983,63,0,children,Loyalty,Sanctity,synthetic_balanced,0.22904078662395477,0.00905668456107378,0.6012676358222961,0.0692640170454979,0.02337716519832611,0.22904078662395477,0.00905668456107378,0.6012676358222961,0.0692640170454979,0.02337716519832611
45,Museum Exhibit Creation,"This initiative creates rotating museum exhibits showcasing local history, culture, and community achievements for residents and visitors. This project promotes fairness, equality, and justice for all residents.",Culture and Community,175831,40.705,-73.942,61,0,community,Fairness,Authority,synthetic_balanced,0.4394051730632782,0.8680863976478577,0.037190601229667664,0.05946403369307518,0.02448791265487671,0.4394051730632782,0.8680863976478577,0.037190601229667664,0.05946403369307518,0.02448791265487671
46,Neighborhood Association Support,This project provides support and resources for neighborhood associations to strengthen community connections and local governance. This project demonstrates care and compassion for community members.,Culture and Community,484629,40.715,-73.996,54,0,community,Care,Loyalty,synthetic_balanced,0.7660073637962341,0.005849760957062244,0.5482596158981323,0.11137136071920395,0.016619980335235596,0.7660073637962341,0.005849760957062244,0.5482596158981323,0.11137136071920395,0.016619980335235596
47,Community Meeting Space,"This initiative creates flexible meeting spaces in community centers for neighborhood groups, organizations, and community events. This project strengthens community bonds and loyalty to local values.",Culture and Community,443071,40.77,-73.954,36,1,youth,Loyalty,Sanctity,synthetic_balanced,0.2069033682346344,0.006193888373672962,0.6313828229904175,0.04159574955701828,0.017717178910970688,0.2069033682346344,0.006193888373672962,0.6313828229904175,0.04159574955701828,0.017717178910970688
48,Volunteer Program Coordination,"This project coordinates community volunteer efforts, matches volunteers with opportunities, and provides training and support for volunteer programs. This project promotes fairness, equality, and justice for all residents.",Culture and Community,147026,40.72,-73.975,70,1,children,Fairness,Authority,synthetic_balanced,0.43294060230255127,0.8312363624572754,0.08522360771894455,0.10012728720903397,0.021796198561787605,0.43294060230255127,0.8312363624572754,0.08522360771894455,0.10012728720903397,0.021796198561787605
49,Community Events Planning,"This initiative plans and organizes community events including festivals, celebrations, and gatherings that bring residents together. This project demonstrates care and compassion for community members.",Culture and Community,333530,40.762,-73.985,90,0,children,Care,Fairness,synthetic_balanced,0.808336615562439,0.006641124840825796,0.28161922097206116,0.023794058710336685,0.023051047697663307,0.808336615562439,0.006641124840825796,0.28161922097206116,0.023794058710336685,0.023051047697663307
50,Social Services Hub,"This project creates a centralized hub providing social services, referrals, and support for community members in need. This project demonstrates care and compassion for community members.",Culture and Community,276667,40.793,-73.952,76,0,children,Care,Loyalty,synthetic_balanced,0.8595853447914124,0.010099764913320541,0.17848049104213715,0.025116603821516037,0.02094833366572857,0.8595853447914124,0.010099764913320541,0.17848049104213715,0.025116603821516037,0.02094833366572857
51,Multicultural Center,"This initiative establishes a multicultural center celebrating diversity through programs, events, and services for all community members. This project strengthens community bonds and loyalty to local values.",Culture and Community,207562,40.781,-73.941,62,0,children,Loyalty,Sanctity,synthetic_balanced,0.19148819148540497,0.13232415914535522,0.5217248797416687,0.02295803464949131,0.019569631665945053,0.19148819148540497,0.13232415914535522,0.5217248797416687,0.02295803464949131,0.019569631665945053
52,Local History Documentation,"This project documents and preserves local history through oral history interviews, photo collections, and historical research. This project promotes fairness, equality, and justice for all residents.",Culture and Community,264943,40.723,-73.965,23,0,youth,Fairness,Authority,synthetic_balanced,0.27995210886001587,0.8660622835159302,0.034366101026535034,0.05791094899177551,0.023389851674437523,0.27995210886001587,0.8660622835159302,0.034366101026535034,0.05791094899177551,0.023389851674437523
53,Community Theater Renovation,"This initiative renovates the community theater with improved seating, lighting, sound systems, and accessibility features. This project promotes respect for authority, leadership, and social order.",Culture and Community,68914,40.707,-73.938,59,0,seniors,Authority,Sanctity,synthetic_balanced,0.24535326659679413,0.013832548633217812,0.056148920208215714,0.6043466925621033,0.02333254925906658,0.24535326659679413,0.013832548633217812,0.056148920208215714,0.6043466925621033,0.02333254925906658
54,Public Art Installation,"This project installs public art pieces throughout the community to enhance aesthetics, celebrate local culture, and create gathering spaces. This project demonstrates care and compassion for community members.",Culture and Community,410035,40.747,-73.979,96,0,families,Care,Fairness,synthetic_balanced,0.7275012135505676,0.010060867294669151,0.0981975570321083,0.08239452540874481,0.02849000319838524,0.7275012135505676,0.010060867294669151,0.0981975570321083,0.08239452540874481,0.02849000319838524
55,Community Newsletter,"This project creates and distributes a community newsletter featuring local news, events, and stories that connect residents. This project strengthens community bonds and loyalty to local values.",Culture and Community,271334,40.765,-73.939,46,0,children,Loyalty,Sanctity,synthetic_balanced,0.2696901559829712,0.006437199655920267,0.6824998259544373,0.07918421179056168,0.01898801140487194,0.2696901559829712,0.006437199655920267,0.6824998259544373,0.07918421179056168,0.01898801140487194
56,Senior Citizen Center,"This initiative establishes a senior citizen center providing programs, services, and social activities for older adults in the community. This project demonstrates care and compassion for community members.",Culture and Community,344767,40.739,-73.981,59,0,adults,Care,Loyalty,synthetic_balanced,0.7983080148696899,0.013007848523557186,0.10949906706809998,0.04363606870174408,0.025865517556667328,0.7983080148696899,0.013007848523557186,0.10949906706809998,0.04363606870174408,0.025865517556667328
57,Youth Community Center,"This project creates a youth community center offering programs, activities, and support services for young people. This project promotes fairness, equality, and justice for all residents.",Culture and Community,310430,40.784,-73.91,36,0,community,Fairness,Authority,synthetic_balanced,0.6099969148635864,0.8800061941146851,0.04067564383149147,0.07168067246675491,0.026660913601517677,0.6099969148635864,0.8800061941146851,0.04067564383149147,0.07168067246675491,0.026660913601517677
58,Community Garden Space,This initiative creates community garden plots where residents can grow vegetables and build community connections. This project protects and preserves sacred community values and traditions.,Culture and Community,443249,40.78,-73.958,21,1,community,Sanctity,Loyalty,synthetic_balanced,0.22818709909915924,0.009055675007402897,0.35957759618759155,0.06248686835169792,0.0425809808075428,0.22818709909915924,0.009055675007402897,0.35957759618759155,0.06248686835169792,0.0425809808075428
59,Local Business Support,"This project supports local businesses through networking events, business development resources, and community promotion. This project addresses practical community needs without strong moral implications.",Culture and Community,172297,40.787,-73.936,31,0,community,Non-Moral,Loyalty,synthetic_balanced,0.4755919277667999,0.005082949064671993,0.19834177196025848,0.03860335797071457,0.019053297117352486,0.4755919277667999,0.005082949064671993,0.19834177196025848,0.03860335797071457,0.019053297117352486
60,Community Resilience Program,"This initiative builds community resilience through disaster preparedness, emergency planning, and community support networks. This project strengthens community bonds and loyalty to local values.",Culture and Community,369838,40.709,-73.943,44,0,adults,Loyalty,Care,synthetic_balanced,0.5225380063056946,0.007152842357754707,0.6804754734039307,0.07977402955293655,0.02015792205929756,0.5225380063056946,0.007152842357754707,0.6804754734039307,0.07977402955293655,0.02015792205929756
61,Sidewalk Repair and Installation,This project repairs existing sidewalks and installs new ones to improve pedestrian safety and accessibility throughout the community. This project strengthens community bonds and loyalty to local values.,Transportation,175991,40.794,-73.956,86,0,community,Loyalty,Sanctity,synthetic_balanced,0.41905397176742554,0.008974599651992321,0.5238674879074097,0.14701560139656067,0.02289528027176857,0.41905397176742554,0.008974599651992321,0.5238674879074097,0.14701560139656067,0.02289528027176857
62,Bike Lane Development,"This project creates dedicated bike lanes and cycling infrastructure to promote cycling as a safe and sustainable transportation option. This project promotes respect for authority, leadership, and social order.",Transportation,379202,40.766,-73.952,97,1,children,Authority,Fairness,synthetic_balanced,0.38157331943511963,0.016465047374367714,0.030430752784013748,0.6011233925819397,0.02014729008078575,0.38157331943511963,0.016465047374367714,0.030430752784013748,0.6011233925819397,0.02014729008078575
63,Bus Stop Improvements,"This initiative upgrades bus stops with shelters, seating, lighting, and accessibility features to improve public transit experience. This project demonstrates care and compassion for community members.",Transportation,204064,40.765,-73.991,73,0,seniors,Care,Fairness,synthetic_balanced,0.718188464641571,0.008312750607728958,0.045710042119026184,0.11185581237077713,0.025538619607686996,0.718188464641571,0.008312750607728958,0.045710042119026184,0.11185581237077713,0.025538619607686996
64,Traffic Safety Measures,"This project implements traffic safety improvements including speed bumps, traffic calming measures, and safety signage. This project demonstrates care and compassion for community members.",Transportation,52317,40.753,-73.915,43,0,youth,Care,Fairness,synthetic_balanced,0.7891253232955933,0.008354924619197845,0.07897685468196869,0.18667031824588776,0.020901834592223167,0.7891253232955933,0.008354924619197845,0.07897685468196869,0.18667031824588776,0.020901834592223167
65,Pedestrian Crossing Enhancement,"This initiative installs crosswalks, pedestrian signals, and safety measures at busy intersections to protect pedestrians. This project demonstrates care and compassion for community members.",Transportation,266628,40.753,-73.904,31,1,seniors,Care,Fairness,synthetic_balanced,0.8002356886863708,0.010016421787440777,0.04929770901799202,0.18119560182094574,0.02696341834962368,0.8002356886863708,0.010016421787440777,0.04929770901799202,0.18119560182094574,0.02696341834962368
